date,minutes_played,user,precipitation,weather_condition,is_weekend
2025-09-02,2.51045,TK,0.0,Clear,0
2025-09-03,53.22241666666667,TK,0.0,Clear,0
2025-09-04,103.05975,TK,0.0,Clear,0
2025-09-05,31.573033333333335,TK,0.0,Clear,0
2025-09-06,133.1223,TK,12.2,Rainy,1
2025-09-07,132.06715,TK,0.4,Clear,1
2025-09-08,114.38996666666667,TK,0.5,Clear,0
2025-09-09,1.2817666666666667,TK,0.3,Clear,0
2025-09-10,41.91393333333333,TK,0.0,Clear,0
2025-09-11,29.947016666666666,TK,0.0,Clear,0
2025-09-12,39.0865,TK,0.6,Rainy,0
2025-09-13,55.582883333333335,TK,0.0,Clear,1
2025-09-14,19.59415,TK,0.0,Clear,1
2025-09-15,2.4137166666666667,TK,0.0,Clear,0
2025-09-16,32.26918333333333,TK,0.0,Clear,0
2025-09-17,41.50601666666667,TK,0.1,Clear,0
2025-09-18,25.95545,TK,2.7,Rainy,0
2025-09-19,63.08773333333333,TK,0.0,Clear,0
2025-09-20,18.907033333333334,TK,0.0,Clear,1
2025-09-21,38.421083333333335,TK,0.0,Clear,1
2025-09-23,1.5323166666666668,TK,0.0,Clear,0
2025-09-24,97.42676666666667,TK,0.0,Clear,0
2025-09-25,43.44806666666667,TK,0.1,Clear,0
2025-09-26,144.12791666666666,TK,1.7,Rainy,0
2025-09-27,119.27915,TK,0.0,Clear,1
2025-09-28,97.81581666666666,TK,0.5,Clear,1
2025-10-01,54.98083333333333,TK,0.0,Clear,0
2025-10-02,55.81726666666667,TK,0.0,Clear,0
2025-10-03,57.56545,TK,2.6,Rainy,0
2025-10-04,151.20475,TK,2.8,Rainy,1
2025-10-05,1.2783833333333334,TK,2.1,Rainy,1
2025-10-06,39.42786666666667,TK,0.0,Clear,0
2025-10-07,63.566516666666665,TK,14.0,Rainy,0
2025-10-08,60.289116666666665,TK,0.7,Rainy,0
2025-10-09,95.80998333333334,TK,6.5,Rainy,0
2025-10-10,65.21368333333334,TK,0.0,Clear,0
2025-10-11,287.39003333333335,TK,7.1,Rainy,1
2025-10-12,24.03575,TK,0.9,Rainy,1
2025-10-13,93.8401,TK,0.7,Rainy,0
2025-10-14,5.9279,TK,0.0,Clear,0
2025-10-15,13.52925,TK,0.2,Clear,0
2025-10-16,81.79198333333333,TK,0.3,Clear,0
2025-10-17,48.935266666666664,TK,0.9,Rainy,0
2025-10-18,0.024116666666666668,TK,0.4,Clear,1
2025-10-19,69.20863333333334,TK,8.8,Rainy,1
2025-10-20,0.0012166666666666667,TK,0.0,Clear,0
2025-10-21,113.76865000000001,TK,0.0,Clear,0
2025-10-23,79.54601666666667,TK,1.1,Rainy,0
2025-10-24,22.088616666666667,TK,33.7,Rainy,0
2025-10-25,131.90805,TK,44.9,Rainy,1
2025-10-26,114.84263333333334,TK,0.0,Clear,1
2025-10-27,86.1969,TK,12.6,Rainy,0
2025-10-28,49.69188333333333,TK,1.5,Rainy,0
2025-10-29,38.163333333333334,TK,0.0,Clear,0
2025-10-30,76.92281666666666,TK,0.0,Clear,0
2025-10-31,19.62335,TK,0.0,Clear,0
2025-11-01,27.286766666666665,TK,0.0,Clear,1
2025-11-02,18.921633333333332,TK,0.0,Clear,1
2025-11-03,6.038783333333333,TK,0.0,Clear,0
2025-11-04,0.66465,TK,0.0,Clear,0
2025-11-05,41.13755,TK,4.9,Rainy,0
2025-11-06,0.00355,TK,0.0,Clear,0
2025-11-07,47.905433333333335,TK,2.5,Rainy,0
2025-11-08,75.89381666666667,TK,0.0,Clear,1
2025-11-09,125.78378333333333,TK,0.0,Clear,1
2025-11-10,41.86526666666667,TK,0.0,Clear,0
2025-11-11,14.085383333333333,TK,10.6,Rainy,0
2025-11-12,9.82615,TK,10.6,Rainy,0
